Id,event_url,event_name,event_date,event_location,event_gender,logo_url,event_website,event_type,player_age_range,created_by,created_datetime
173,https://www.connectlax.com/event/united_summer_clash_2019,United Summer Clash,Jun 16 '19,"Albany, NY",Men's 13-17,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3367-43990.jpg,http://www.united-lacrosse.com/,Tournament,13 - 17,spider,20190308
174,https://www.connectlax.com/event/turf_wars,Turf Wars,Jul 19-21 '19,"Palmyra, PA",Women's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-2701-42985.jpg,http://thinklaxtournaments.sportngin.com/page/show/2037250-home,Tournament,13 - 18,spider,20190308
175,https://www.connectlax.com/event/trilogy_rider_tournament__2019,Trilogy Rider Tournament,Jun 22-23 '19,"Lawrenceville, NJ",Men's 5-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3259-43832.jpg,http://www.trilogylacrosse.com/tournaments/masters-rider-university,Tournament,5 - 18,spider,20190308
176,https://www.connectlax.com/event/trilogy_providence_tournament_2019,Trilogy Providence Tournament,Jul 13-14 '19,"Smithfield, RI",Men's 8-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3263-43836.jpg,http://trilogylacrosse.com/events/boys-tournaments,Tournament,8 - 18,spider,20190308
177,https://www.connectlax.com/event/trilogy_great_lax_bay_classic_2019,Trilogy Great Lax Bay Classic,Jun 29-30 '19,"Saginaw, MI",Men's 8-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3262-43835.jpg,https://trilogylacrosse.com/events/boys-tournaments,Tournament,8 - 18,spider,20190308
178,https://www.connectlax.com/event/warrior_summer_sizzle,Warrior Summer Sizzle,Jul 13-14 '19,"Bel Air, MD",Men's 8-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3332-43916.jpg,http://www.alohatournaments.com,Tournament,8 - 18,spider,20190308
179,https://www.connectlax.com/event/young_guns_2019,Young Guns,Jul 6-7 '19,"Bel Air, MD",Men's 8-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3020-43489.jpg,https://crabslax.com/Tournaments.aspx,Tournament,8 - 18,spider,20190308
180,https://www.connectlax.com/event/warrior_lava_lax,Warrior Lava Lax,Jun 8-9 '19,"Timonium, MD",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3327-43913.jpg,http://www.alohatournaments.com,Tournament,13 - 18,spider,20190308
181,https://www.connectlax.com/event/warrior_spring_fever,Warrior Spring Fever,May 18-19 '19,"Lawrenceville, GA",Men's 8-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb--43912.jpg,http://www.alohatournaments.com,Tournament,8 - 18,spider,20190308
182,https://www.connectlax.com/event/western_prime_girls,Western Prime Girls,Jun 14-16 '19,"Frisco, TX",Women's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-2976-43411.jpg,https://www.adrln.com/shop/events/?event_category=events/,Tournament,13 - 18,spider,20190308
183,https://www.connectlax.com/event/womens_national_tournament_2019,Womens National Tournament,May 25-26 '19,"Bel Air, MD",Women's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3161-43721.jpg,https://www.uslacrosse.org/events,Tournament,13 - 18,spider,20190308
184,https://www.connectlax.com/event/warrior_long_island_classic_and_clinic,Warrior Long Island Classic and Clinic,Jul 13-14 '19,"Hempstead, NY",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/college_pics/thumb-125.jpg,http://www.blueandgoldlacrossecamps.com/events.php?event=10,Tournament,13 - 18,spider,20190308
185,https://www.connectlax.com/event/western_prime_boys,Western Prime Boys,Jun 14-16 '19,"Frisco, TX",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-1781-28088.jpg,https://www.adrln.com/shop/events/?event_category=events/,Tournament,13 - 18,spider,20190308
186,https://www.connectlax.com/event/warrior_big_kahuna,Warrior Big Kahuna,Jul 19-21 '19,"Frankford, DE",Men's 8-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3333-43917.jpg,http://www.alohatournaments.com/,Tournament,8 - 18,spider,20190308
