tournament_endpoint,tournament_division_id,tournament_id,tournament_name,time_period,Location,tournament_division_name,last_update,game_date,game_id,game_time,location_name,away_team_id,away_team,away_score,home_score,home_team
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201901212141445246124b2cdd7964f,h20190121214144543710a4ec758b740,h201901212141445246124b2cdd7964f,2019 Lake Norman Fall Boys Lacrosse Classic ,"Oct 12 - 13, 2019","Mooresville, NC",High School Boys (2020/2021),,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018110215531953615f7833961c542,h20181102155319555b5144183a41f48,h2018110215531953615f7833961c542,"BIG SHOTS WV TOP 150 (Charleston, WV | Grade 9-12 Boys)","Oct 13, 2019","Institute, WV",Showcase Fee,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20181027163121644c1243d606c9247,h20181027163121661b7cf27f87eb249,h20181027163121644c1243d606c9247,Ball O Ween 2019,"Oct 18 - 20, 2019","Northumberland, PA • Sunbury, PA • Watsontown, PA",10U BOW,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201811021554269032e19f0d3f5ee42,h2018110215542691824ee06c40f6749,h201811021554269032e19f0d3f5ee42,"BIG SHOTS WV NEXT TOP 150 (Charleston, WV | Grade 6-8 Boys)","Oct 13, 2019","Charleston, WV",Showcase Fee,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20181027163121644c1243d606c9247,h20181027163121668d2e34e48ff9d4f,h20181027163121644c1243d606c9247,Ball O Ween 2019,"Oct 18 - 20, 2019","Northumberland, PA • Sunbury, PA • Watsontown, PA",14U BOW,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20181027163121644c1243d606c9247,h2018102716312166601ee4679a6e344,h20181027163121644c1243d606c9247,Ball O Ween 2019,"Oct 18 - 20, 2019","Northumberland, PA • Sunbury, PA • Watsontown, PA",12U BOW,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20181027163121644c1243d606c9247,h20181027163121676a355c3fb9c674a,h20181027163121644c1243d606c9247,Ball O Ween 2019,"Oct 18 - 20, 2019","Northumberland, PA • Sunbury, PA • Watsontown, PA",Coach Pitch Division,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190215211558242c988f89ff82049,h20190215211558256016c94327e8f4f,h20190215211558242c988f89ff82049,Pumpkin Fest,"Oct 19 - 20, 2019","Roseville, CA",Coed,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201901212141445246124b2cdd7964f,h20190121214144552ea17c9598c0f47,h201901212141445246124b2cdd7964f,2019 Lake Norman Fall Boys Lacrosse Classic ,"Oct 12 - 13, 2019","Mooresville, NC",Elementary Boys (2027 & younger),,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201902192233543782e54bd0099a347,h201902192235180948d27c0034f1a41,h201902192233543782e54bd0099a347,PGF Tarheel Classic Showcase,"Oct 19 - 20, 2019","Rock Hill, SC",16u,,,,,,,,,,
