tournament_endpoint,tournament_division_id,tournament_id,tournament_name,time_period,Location,tournament_division_name,last_update,game_date,game_id,game_time,location_name,away_team_id,away_team,away_score,home_score,home_team
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201902220231147827f2a314cb30b4e,h20190222023747323a0a81b085efc4c,h201902220231147827f2a314cb30b4e,Legacy Lacrosse Box Tourney,"Feb 23, 2019","Bridgewater, MA",4th Grade Division,Sat 2/23/2019 1:10 PM,"Saturday, February 23, 2019",P2,9:40 AM,Bridgewater Sports Complex - Field 3,h20190222023859231f000b42fcae043,Laxachusetts Green,1,18,Eclipse
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201902220231147827f2a314cb30b4e,h201902220238207373e29b66744844f,h201902220231147827f2a314cb30b4e,Legacy Lacrosse Box Tourney,"Feb 23, 2019","Bridgewater, MA",7th/8th Grade Division,Sat 2/23/2019 3:03 PM,"Saturday, February 23, 2019",P2,9:00 AM,Bridgewater Sports Complex - Field 2,h201902220251040605e7a0b28086f42,Eclipse 1,6,8,New England Twisters
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120516181398899fae8005f6944,h2018120517044945691ff29f1638a4c,h2018120516181398899fae8005f6944,T3 High School Winter League,"Jan 5 - Feb 23, 2019","Branchburg, NJ",Red,Sat 2/23/2019 10:13 PM,"Saturday, January 05, 2019",P4,6:05 PM,Branchburg Sports Complex,h201812051709388079af2b3e4ed454c,Nazareth,5,14,Bridgewater Black
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190212044619226588955e76d5f4d,h20190220200357332644118154f914b,h20190212044619226588955e76d5f4d,Legends Best of the West,"Feb 22 - 24, 2019","Henderson, NV",Gulls Girls Varsity,Sun 2/24/2019 12:11 PM,"Friday, February 22, 2019",P1,5:00 PM,Heritage Park - 6,h201902202003574471deb5513711a41,Lady Cougars,8,8,Viewmont
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190212044619226588955e76d5f4d,h201902202001502840a2b135e8b6241,h20190212044619226588955e76d5f4d,Legends Best of the West,"Feb 22 - 24, 2019","Henderson, NV",Seals Boys JV,Yesterday 9:52 AM,"Friday, February 22, 2019",P1,8:00 PM,Heritage Park - 13,h201902202001503146d5b5efd79a449,Cougars Lacrosse JV,11,3,Skyridge JV
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190219014737252be49b239da8b41,h20190219015615755e28d7bd140c448,h20190219014737252be49b239da8b41,TRUE PA Girls Midnight Madness,"Feb 23 - 24, 2019","cheswick, PA",Division 1,Sun 2/24/2019 12:25 AM,"Saturday, February 23, 2019",P0,7:30 PM,Pittsburgh indoor sports arena - Field 2,h20190219025605826c7b9bf5ca4b142,TRUE 2021,15,4,North Allegheny
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190212044619226588955e76d5f4d,h201902202004263874446ddf6419141,h20190212044619226588955e76d5f4d,Legends Best of the West,"Feb 22 - 24, 2019","Henderson, NV",Capitals Girls JV,Sun 2/24/2019 1:10 PM,"Friday, February 22, 2019",P1,9:00 AM,Heritage Park - 9,h20190220200426394c7d163ea3de943,Brighton Girls JV,5,11,Duke City Scorpions
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190219014737252be49b239da8b41,h20190219015615760fecb180a016e40,h20190219014737252be49b239da8b41,TRUE PA Girls Midnight Madness,"Feb 23 - 24, 2019","cheswick, PA",Division 2,Sat 2/23/2019 11:56 PM,"Saturday, February 23, 2019",P0,7:30 PM,Pittsburgh indoor sports arena - Field 3,h2019021901573774381d7c3b80db148,Butler 2,8,4,Greensburg CC
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201902220231147827f2a314cb30b4e,h20190222023731308e1e779e08a5541,h201902220231147827f2a314cb30b4e,Legacy Lacrosse Box Tourney,"Feb 23, 2019","Bridgewater, MA",5th/6th Grade Division,Sun 2/24/2019 9:20 AM,"Saturday, February 23, 2019",P3,1:00 PM,Bridgewater Sports Complex - Field 3,h20190222024452884a359e8330f7643,Eclipse 1,5,4,Laxachusetts Green
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120516181398899fae8005f6944,h2018120517041277672721b2976d043,h2018120516181398899fae8005f6944,T3 High School Winter League,"Jan 5 - Feb 23, 2019","Branchburg, NJ",White,Sat 2/23/2019 10:12 PM,"Saturday, January 05, 2019",P3,7:55 PM,Branchburg Sports Complex,h201812051712083470f3da63a54a944,Lata/North Hunterdon,14,6,WaHills
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190212044619226588955e76d5f4d,h20190220200303928836c9b45f60c4a,h20190212044619226588955e76d5f4d,Legends Best of the West,"Feb 22 - 24, 2019","Henderson, NV",MAMBA Boys 14U,Sun 2/24/2019 1:59 PM,"Friday, February 22, 2019",P1,5:00 PM,Heritage Park - 1,h20190220200304095338e7913039647,Oneida LC 13U,0,13,Patriots 14U
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190212044619226588955e76d5f4d,h201902202000097690d0390c9ae4a48,h20190212044619226588955e76d5f4d,Legends Best of the West,"Feb 22 - 24, 2019","Henderson, NV",Relax Boys Varsity,Sun 2/24/2019 12:55 PM,"Friday, February 22, 2019",P1,6:00 PM,Heritage Park - 1,h201902202000097780f7e049296d949,Jordan Varsity Boys,5,7,Colorado Chill
